Approach,Recall,Precision
IR-ONLY-VSM,0.05,1.0000
IR-ONLY-VSM,0.10,1.0000
IR-ONLY-VSM,0.15,0.8889
IR-ONLY-VSM,0.20,0.6667
IR-ONLY-VSM,0.25,0.5417
IR-ONLY-VSM,0.30,0.5385
IR-ONLY-VSM,0.35,0.5313
IR-ONLY-VSM,0.40,0.4878
IR-ONLY-VSM,0.45,0.4565
IR-ONLY-VSM,0.50,0.2907
IR-ONLY-VSM,0.55,0.2907
IR-ONLY-VSM,0.60,0.2755
IR-ONLY-VSM,0.65,0.1890
IR-ONLY-VSM,0.70,0.1860
IR-ONLY-VSM,0.75,0.1036
IR-ONLY-VSM,0.80,0.1036
IR-ONLY-VSM,0.85,0.0997
IR-ONLY-VSM,0.90,0.0802
IR-ONLY-VSM,0.95,0.0510
IR-ONLY-VSM,1.00,0.0510
TRIAD-VSM,0.05,1.0000
TRIAD-VSM,0.10,1.0000
TRIAD-VSM,0.15,0.8889
TRIAD-VSM,0.20,0.8182
TRIAD-VSM,0.25,0.7000
TRIAD-VSM,0.30,0.7000
TRIAD-VSM,0.35,0.6333
TRIAD-VSM,0.40,0.6333
TRIAD-VSM,0.45,0.6286
TRIAD-VSM,0.50,0.6053
TRIAD-VSM,0.55,0.5909
TRIAD-VSM,0.60,0.5870
TRIAD-VSM,0.65,0.3750
TRIAD-VSM,0.70,0.2353
TRIAD-VSM,0.75,0.2329
TRIAD-VSM,0.80,0.1450
TRIAD-VSM,0.85,0.1450
TRIAD-VSM,0.90,0.1207
TRIAD-VSM,0.95,0.1120
TRIAD-VSM,1.00,0.0513
IR-ONLY-LSI,0.05,1.0000
IR-ONLY-LSI,0.10,1.0000
IR-ONLY-LSI,0.15,1.0000
IR-ONLY-LSI,0.20,1.0000
IR-ONLY-LSI,0.25,0.5217
IR-ONLY-LSI,0.30,0.5185
IR-ONLY-LSI,0.35,0.4250
IR-ONLY-LSI,0.40,0.3673
IR-ONLY-LSI,0.45,0.2391
IR-ONLY-LSI,0.50,0.2300
IR-ONLY-LSI,0.55,0.2093
IR-ONLY-LSI,0.60,0.2093
IR-ONLY-LSI,0.65,0.1975
IR-ONLY-LSI,0.70,0.1667
IR-ONLY-LSI,0.75,0.1667
IR-ONLY-LSI,0.80,0.1602
IR-ONLY-LSI,0.85,0.1061
IR-ONLY-LSI,0.90,0.1049
IR-ONLY-LSI,0.95,0.0801
IR-ONLY-LSI,1.00,0.0670
TRIAD-LSI,0.05,1.0000
TRIAD-LSI,0.10,1.0000
TRIAD-LSI,0.15,1.0000
TRIAD-LSI,0.20,1.0000
TRIAD-LSI,0.25,0.5217
TRIAD-LSI,0.30,0.5185
TRIAD-LSI,0.35,0.4250
TRIAD-LSI,0.40,0.3673
TRIAD-LSI,0.45,0.3043
TRIAD-LSI,0.50,0.2553
TRIAD-LSI,0.55,0.2188
TRIAD-LSI,0.60,0.2188
TRIAD-LSI,0.65,0.2123
TRIAD-LSI,0.70,0.2063
TRIAD-LSI,0.75,0.1722
TRIAD-LSI,0.80,0.1722
TRIAD-LSI,0.85,0.1625
TRIAD-LSI,0.90,0.0947
TRIAD-LSI,0.95,0.0838
TRIAD-LSI,1.00,0.0735
IR-ONLY-JSD,0.05,1.0000
IR-ONLY-JSD,0.10,1.0000
IR-ONLY-JSD,0.15,1.0000
IR-ONLY-JSD,0.20,0.8462
IR-ONLY-JSD,0.25,0.7368
IR-ONLY-JSD,0.30,0.7368
IR-ONLY-JSD,0.35,0.5161
IR-ONLY-JSD,0.40,0.4615
IR-ONLY-JSD,0.45,0.3871
IR-ONLY-JSD,0.50,0.3871
IR-ONLY-JSD,0.55,0.3623
IR-ONLY-JSD,0.60,0.2077
IR-ONLY-JSD,0.65,0.1563
IR-ONLY-JSD,0.70,0.1404
IR-ONLY-JSD,0.75,0.1295
IR-ONLY-JSD,0.80,0.1295
IR-ONLY-JSD,0.85,0.1114
IR-ONLY-JSD,0.90,0.0779
IR-ONLY-JSD,0.95,0.0766
IR-ONLY-JSD,1.00,0.0540
TRIAD-JSD,0.05,1.0000
TRIAD-JSD,0.10,1.0000
TRIAD-JSD,0.15,1.0000
TRIAD-JSD,0.20,0.9091
TRIAD-JSD,0.25,0.6316
TRIAD-JSD,0.30,0.5250
TRIAD-JSD,0.35,0.5250
TRIAD-JSD,0.40,0.5250
TRIAD-JSD,0.45,0.5250
TRIAD-JSD,0.50,0.4694
TRIAD-JSD,0.55,0.4286
TRIAD-JSD,0.60,0.4286
TRIAD-JSD,0.65,0.3232
TRIAD-JSD,0.70,0.3232
TRIAD-JSD,0.75,0.2615
TRIAD-JSD,0.80,0.2216
TRIAD-JSD,0.85,0.2198
TRIAD-JSD,0.90,0.2124
TRIAD-JSD,0.95,0.0915
TRIAD-JSD,1.00,0.0590
IR-ONLY-VSM,0,05,1,0000
IR-ONLY-VSM,0,10,1,0000
IR-ONLY-VSM,0,15,0,8889
IR-ONLY-VSM,0,20,0,6667
IR-ONLY-VSM,0,25,0,5417
IR-ONLY-VSM,0,30,0,5385
IR-ONLY-VSM,0,35,0,5313
IR-ONLY-VSM,0,40,0,4878
IR-ONLY-VSM,0,45,0,4565
IR-ONLY-VSM,0,50,0,2907
IR-ONLY-VSM,0,55,0,2907
IR-ONLY-VSM,0,60,0,2755
IR-ONLY-VSM,0,65,0,1890
IR-ONLY-VSM,0,70,0,1860
IR-ONLY-VSM,0,75,0,1036
IR-ONLY-VSM,0,80,0,1036
IR-ONLY-VSM,0,85,0,0997
IR-ONLY-VSM,0,90,0,0802
IR-ONLY-VSM,0,95,0,0510
IR-ONLY-VSM,1,00,0,0510
TRIAD-VSM,0,05,1,0000
TRIAD-VSM,0,10,1,0000
TRIAD-VSM,0,15,0,8889
TRIAD-VSM,0,20,0,8182
TRIAD-VSM,0,25,0,7000
TRIAD-VSM,0,30,0,7000
TRIAD-VSM,0,35,0,6333
TRIAD-VSM,0,40,0,6333
TRIAD-VSM,0,45,0,6286
TRIAD-VSM,0,50,0,5909
TRIAD-VSM,0,55,0,5909
TRIAD-VSM,0,60,0,5192
TRIAD-VSM,0,65,0,3333
TRIAD-VSM,0,70,0,2370
TRIAD-VSM,0,75,0,1717
TRIAD-VSM,0,80,0,1481
TRIAD-VSM,0,85,0,1022
TRIAD-VSM,0,90,0,1022
TRIAD-VSM,0,95,0,0982
TRIAD-VSM,1,00,0,0515
IR-ONLY-LSI,0,05,1,0000
IR-ONLY-LSI,0,10,1,0000
IR-ONLY-LSI,0,15,1,0000
IR-ONLY-LSI,0,20,1,0000
IR-ONLY-LSI,0,25,0,5217
IR-ONLY-LSI,0,30,0,5185
IR-ONLY-LSI,0,35,0,4250
IR-ONLY-LSI,0,40,0,3673
IR-ONLY-LSI,0,45,0,2391
IR-ONLY-LSI,0,50,0,2300
IR-ONLY-LSI,0,55,0,2093
IR-ONLY-LSI,0,60,0,2093
IR-ONLY-LSI,0,65,0,1975
IR-ONLY-LSI,0,70,0,1667
IR-ONLY-LSI,0,75,0,1667
IR-ONLY-LSI,0,80,0,1602
IR-ONLY-LSI,0,85,0,1061
IR-ONLY-LSI,0,90,0,1049
IR-ONLY-LSI,0,95,0,0801
IR-ONLY-LSI,1,00,0,0670
IR-ONLY-VSM,0,05,1,0000
IR-ONLY-VSM,0,10,1,0000
IR-ONLY-VSM,0,15,0,8889
IR-ONLY-VSM,0,20,0,6667
IR-ONLY-VSM,0,25,0,5417
IR-ONLY-VSM,0,30,0,5385
IR-ONLY-VSM,0,35,0,5313
IR-ONLY-VSM,0,40,0,4878
IR-ONLY-VSM,0,45,0,4565
IR-ONLY-VSM,0,50,0,2907
IR-ONLY-VSM,0,55,0,2907
IR-ONLY-VSM,0,60,0,2755
IR-ONLY-VSM,0,65,0,1890
IR-ONLY-VSM,0,70,0,1860
IR-ONLY-VSM,0,75,0,1036
IR-ONLY-VSM,0,80,0,1036
IR-ONLY-VSM,0,85,0,0997
IR-ONLY-VSM,0,90,0,0802
IR-ONLY-VSM,0,95,0,0510
IR-ONLY-VSM,1,00,0,0510
TRIAD-VSM,0,05,1,0000
TRIAD-VSM,0,10,1,0000
TRIAD-VSM,0,15,0,8889
TRIAD-VSM,0,20,0,8182
TRIAD-VSM,0,25,0,7000
TRIAD-VSM,0,30,0,7000
TRIAD-VSM,0,35,0,6333
TRIAD-VSM,0,40,0,6333
TRIAD-VSM,0,45,0,6286
TRIAD-VSM,0,50,0,5909
TRIAD-VSM,0,55,0,5909
TRIAD-VSM,0,60,0,5192
TRIAD-VSM,0,65,0,3333
TRIAD-VSM,0,70,0,2370
TRIAD-VSM,0,75,0,1717
TRIAD-VSM,0,80,0,1481
TRIAD-VSM,0,85,0,1022
TRIAD-VSM,0,90,0,1022
TRIAD-VSM,0,95,0,0982
TRIAD-VSM,1,00,0,0515
IR-ONLY-VSM,0,05,1,0000
IR-ONLY-VSM,0,10,1,0000
IR-ONLY-VSM,0,15,0,8889
IR-ONLY-VSM,0,20,0,6667
IR-ONLY-VSM,0,25,0,5417
IR-ONLY-VSM,0,30,0,5385
IR-ONLY-VSM,0,35,0,5313
IR-ONLY-VSM,0,40,0,4878
IR-ONLY-VSM,0,45,0,4565
IR-ONLY-VSM,0,50,0,2907
IR-ONLY-VSM,0,55,0,2907
IR-ONLY-VSM,0,60,0,2755
IR-ONLY-VSM,0,65,0,1890
IR-ONLY-VSM,0,70,0,1860
IR-ONLY-VSM,0,75,0,1036
IR-ONLY-VSM,0,80,0,1036
IR-ONLY-VSM,0,85,0,0997
IR-ONLY-VSM,0,90,0,0802
IR-ONLY-VSM,0,95,0,0510
IR-ONLY-VSM,1,00,0,0510
TRIAD-VSM,0,05,1,0000
TRIAD-VSM,0,10,1,0000
TRIAD-VSM,0,15,0,8889
TRIAD-VSM,0,20,0,8182
TRIAD-VSM,0,25,0,7000
TRIAD-VSM,0,30,0,7000
TRIAD-VSM,0,35,0,6333
TRIAD-VSM,0,40,0,6333
TRIAD-VSM,0,45,0,6286
TRIAD-VSM,0,50,0,5909
TRIAD-VSM,0,55,0,5909
TRIAD-VSM,0,60,0,5192
TRIAD-VSM,0,65,0,3333
TRIAD-VSM,0,70,0,2370
TRIAD-VSM,0,75,0,1717
TRIAD-VSM,0,80,0,1481
TRIAD-VSM,0,85,0,1022
TRIAD-VSM,0,90,0,1022
TRIAD-VSM,0,95,0,0982
TRIAD-VSM,1,00,0,0515
IR-ONLY-VSM,0,05,1,0000
IR-ONLY-VSM,0,10,1,0000
IR-ONLY-VSM,0,15,0,8889
IR-ONLY-VSM,0,20,0,6667
IR-ONLY-VSM,0,25,0,5417
IR-ONLY-VSM,0,30,0,5385
IR-ONLY-VSM,0,35,0,5313
IR-ONLY-VSM,0,40,0,4878
IR-ONLY-VSM,0,45,0,4565
IR-ONLY-VSM,0,50,0,2907
IR-ONLY-VSM,0,55,0,2907
IR-ONLY-VSM,0,60,0,2755
IR-ONLY-VSM,0,65,0,1890
IR-ONLY-VSM,0,70,0,1860
IR-ONLY-VSM,0,75,0,1036
IR-ONLY-VSM,0,80,0,1036
IR-ONLY-VSM,0,85,0,0997
IR-ONLY-VSM,0,90,0,0802
IR-ONLY-VSM,0,95,0,0510
IR-ONLY-VSM,1,00,0,0510
TRIAD-VSM,0,05,1,0000
TRIAD-VSM,0,10,1,0000
TRIAD-VSM,0,15,0,8889
TRIAD-VSM,0,20,0,8182
TRIAD-VSM,0,25,0,7000
TRIAD-VSM,0,30,0,7000
TRIAD-VSM,0,35,0,6333
TRIAD-VSM,0,40,0,6333
TRIAD-VSM,0,45,0,6286
TRIAD-VSM,0,50,0,5909
TRIAD-VSM,0,55,0,5909
TRIAD-VSM,0,60,0,5192
TRIAD-VSM,0,65,0,3333
TRIAD-VSM,0,70,0,2370
TRIAD-VSM,0,75,0,1717
TRIAD-VSM,0,80,0,1481
TRIAD-VSM,0,85,0,1022
TRIAD-VSM,0,90,0,1022
TRIAD-VSM,0,95,0,0982
TRIAD-VSM,1,00,0,0515
IR-ONLY-VSM,0,05,1,0000
IR-ONLY-VSM,0,10,1,0000
IR-ONLY-VSM,0,15,0,8889
IR-ONLY-VSM,0,20,0,6667
IR-ONLY-VSM,0,25,0,5417
IR-ONLY-VSM,0,30,0,5385
IR-ONLY-VSM,0,35,0,5313
IR-ONLY-VSM,0,40,0,4878
IR-ONLY-VSM,0,45,0,4565
IR-ONLY-VSM,0,50,0,2907
IR-ONLY-VSM,0,55,0,2907
IR-ONLY-VSM,0,60,0,2755
IR-ONLY-VSM,0,65,0,1890
IR-ONLY-VSM,0,70,0,1860
IR-ONLY-VSM,0,75,0,1036
IR-ONLY-VSM,0,80,0,1036
IR-ONLY-VSM,0,85,0,0997
IR-ONLY-VSM,0,90,0,0802
IR-ONLY-VSM,0,95,0,0510
IR-ONLY-VSM,1,00,0,0510
IR-ONLY-VSM,0,05,1,0000
IR-ONLY-VSM,0,10,1,0000
IR-ONLY-VSM,0,15,0,8889
IR-ONLY-VSM,0,20,0,6667
IR-ONLY-VSM,0,25,0,5417
IR-ONLY-VSM,0,30,0,5385
IR-ONLY-VSM,0,35,0,5313
IR-ONLY-VSM,0,40,0,4878
IR-ONLY-VSM,0,45,0,4565
IR-ONLY-VSM,0,50,0,2907
IR-ONLY-VSM,0,55,0,2907
IR-ONLY-VSM,0,60,0,2755
IR-ONLY-VSM,0,65,0,1890
IR-ONLY-VSM,0,70,0,1860
IR-ONLY-VSM,0,75,0,1036
IR-ONLY-VSM,0,80,0,1036
IR-ONLY-VSM,0,85,0,0997
IR-ONLY-VSM,0,90,0,0802
IR-ONLY-VSM,0,95,0,0510
IR-ONLY-VSM,1,00,0,0510
IR-ONLY-VSM,0,05,1,0000
IR-ONLY-VSM,0,10,1,0000
IR-ONLY-VSM,0,15,0,8889
IR-ONLY-VSM,0,20,0,6667
IR-ONLY-VSM,0,25,0,5417
IR-ONLY-VSM,0,30,0,5385
IR-ONLY-VSM,0,35,0,5313
IR-ONLY-VSM,0,40,0,4878
IR-ONLY-VSM,0,45,0,4565
IR-ONLY-VSM,0,50,0,2907
IR-ONLY-VSM,0,55,0,2907
IR-ONLY-VSM,0,60,0,2755
IR-ONLY-VSM,0,65,0,1890
IR-ONLY-VSM,0,70,0,1860
IR-ONLY-VSM,0,75,0,1036
IR-ONLY-VSM,0,80,0,1036
IR-ONLY-VSM,0,85,0,0997
IR-ONLY-VSM,0,90,0,0802
IR-ONLY-VSM,0,95,0,0510
IR-ONLY-VSM,1,00,0,0510
IR-ONLY-VSM,0,05,1,0000
IR-ONLY-VSM,0,10,1,0000
IR-ONLY-VSM,0,15,0,8889
IR-ONLY-VSM,0,20,0,6667
IR-ONLY-VSM,0,25,0,5417
IR-ONLY-VSM,0,30,0,5385
IR-ONLY-VSM,0,35,0,5313
IR-ONLY-VSM,0,40,0,4878
IR-ONLY-VSM,0,45,0,4565
IR-ONLY-VSM,0,50,0,2907
IR-ONLY-VSM,0,55,0,2907
IR-ONLY-VSM,0,60,0,2755
IR-ONLY-VSM,0,65,0,1890
IR-ONLY-VSM,0,70,0,1860
IR-ONLY-VSM,0,75,0,1036
IR-ONLY-VSM,0,80,0,1036
IR-ONLY-VSM,0,85,0,0997
IR-ONLY-VSM,0,90,0,0802
IR-ONLY-VSM,0,95,0,0510
IR-ONLY-VSM,1,00,0,0510
IR-ONLY-VSM,0,05,1,0000
IR-ONLY-VSM,0,10,1,0000
IR-ONLY-VSM,0,15,0,8889
IR-ONLY-VSM,0,20,0,6667
IR-ONLY-VSM,0,25,0,5417
IR-ONLY-VSM,0,30,0,5385
IR-ONLY-VSM,0,35,0,5313
IR-ONLY-VSM,0,40,0,4878
IR-ONLY-VSM,0,45,0,4565
IR-ONLY-VSM,0,50,0,2907
IR-ONLY-VSM,0,55,0,2907
IR-ONLY-VSM,0,60,0,2755
IR-ONLY-VSM,0,65,0,1890
IR-ONLY-VSM,0,70,0,1860
IR-ONLY-VSM,0,75,0,1036
IR-ONLY-VSM,0,80,0,1036
IR-ONLY-VSM,0,85,0,0997
IR-ONLY-VSM,0,90,0,0802
IR-ONLY-VSM,0,95,0,0510
IR-ONLY-VSM,1,00,0,0510
IR-ONLY-VSM,0,05,1,0000
IR-ONLY-VSM,0,10,1,0000
IR-ONLY-VSM,0,15,0,8889
IR-ONLY-VSM,0,20,0,6667
IR-ONLY-VSM,0,25,0,5417
IR-ONLY-VSM,0,30,0,5385
IR-ONLY-VSM,0,35,0,5313
IR-ONLY-VSM,0,40,0,4878
IR-ONLY-VSM,0,45,0,4565
IR-ONLY-VSM,0,50,0,2907
IR-ONLY-VSM,0,55,0,2907
IR-ONLY-VSM,0,60,0,2755
IR-ONLY-VSM,0,65,0,1890
IR-ONLY-VSM,0,70,0,1860
IR-ONLY-VSM,0,75,0,1036
IR-ONLY-VSM,0,80,0,1036
IR-ONLY-VSM,0,85,0,0997
IR-ONLY-VSM,0,90,0,0802
IR-ONLY-VSM,0,95,0,0510
IR-ONLY-VSM,1,00,0,0510
